WELL	Water Bottom	INTERVAL	TVDSS_TOP	TVDSB_TOP	TVDSS_BASE	TVDSB_BASE	TVDSB_MID	DEPTH_TOP	DEPTH_BASE	GROSS_ORG	NET_ORG	NET_TO_GROSS_ORG	GROSS	NET	NET_TO_GROSS	PHIT_AV	SWT_AV	PERM_BASE_AM	Comment	NET log	NET log	Comment on method in GeoLog
discrete	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	discrete
																						
CASINO 1	70.5	68_PAARATTE	1168.94	1098.44	1529.14	1458.64	1278.54	1194.0	1554.4	360.197	7.156	0.02				0.218	0.952		No NET log over entire interval; more sand in interval	1259.43384	2091.69026	IFC(PHIT>=.08&VSH<=.5 1 0)
CASINO 1	70.5	81_BELFAST	1529.14	1458.64	1713.43	1642.93	1550.785	1554.4	1739.0	184.293	0.0	0.0										
CASINO 1	70.5	WAARRE FM	1713.43	1642.93	1892.57	1822.07	1732.5	1739.0	1919.2	179.143	11.695	0.065				0.173	0.54	91.859				
CASINO 1	70.5	93_LOWER WAARRE	1713.43	1642.93	1892.57	1822.07	1732.5	1739.0	1919.2	179.143	11.695	0.065				0.173	0.54	91.859				
CASINO 1	70.5	Top Porosity to Eumeralla Fm	1713.43	1642.93	1892.57	1822.07	1732.5	1739.0	1919.2	179.143	11.695	0.065				0.173	0.54	91.859				
CASINO 2	68.0	68_PAARATTE	1203.35	1135.35	1510.78	1442.78	1289.065	1228.4	1535.9	307.427	23.487	0.076				0.249	1.0			690.0	2109.1488	IFC(PHIT>=.08&VSH<=.5 1 0)
CASINO 2	68.0	81_BELFAST	1510.78	1442.78	1722.41	1654.41	1548.595	1535.9	1747.6	211.625	0.0	0.0										
CASINO 2	68.0	WAARRE FM	1722.41	1654.41	1934.43	1866.43	1760.42	1747.6	1959.7	212.028	20.11	0.095				0.213	0.337	1262.269				
CASINO 2	68.0	90.8_UPPER WAARRE	1722.41	1654.41	1786.79	1718.79	1686.6	1747.6	1812.0	64.38	16.454	0.256				0.225	0.241	1537.285				
CASINO 2	68.0	93_LOWER WAARRE	1786.79	1718.79	1934.43	1866.43	1792.61	1812.0	1959.7	147.648	3.656	0.025				0.16	0.947	24.664				
CASINO 2	68.0	Below Top Porosity	1722.41	1654.41	1934.43	1866.43	1760.42	1747.6	1959.7	212.028	20.11	0.095				0.213	0.337	1262.269				
CASINO 3	69.1	88_BASE C. STRIATOCONUM						1944.0	2002.1				58.1	8.3	0.143				Net assigned to updated tops.  Gross and NTG recalculated to updated tops.  PHIT Avg also recalculated from table. NOTE: calculated in MD not TVD			
CASINO 3	69.1	WAARRE FM						2002.1	2099.0				96.9	36.0	0.37				Net assigned to updated tops.  Gross and NTG recalculated to updated tops.  PHIT Avg also recalculated from table. NOTE: calculated in MD not TVD			
CASINO 3	69.1	90.8_UPPER WAARRE						2002.1	2035.0				32.9	20.4	0.62				Net assigned to updated tops.  Gross and NTG recalculated to updated tops.  PHIT Avg also recalculated from table. NOTE: calculated in MD not TVD			
CASINO 3	69.1	93_LOWER WAARRE						2035.0	2099.0				64.0	15.6	0.244				Net assigned to updated tops.  Gross and NTG recalculated to updated tops.  PHIT Avg also recalculated from table. NOTE: calculated in MD not TVD			
CHAMPION 1	53.0	68_PAARATTE	1255.73	1202.73	1428.5	1375.5	1289.115	1281.2	1454.0	172.776	28.799	0.167				0.255	0.993			1220.11444	1840.07756	IFC(PHIT>=.08&VSH<=.5 1 0)
CHAMPION 1	53.0	81_BELFAST	1428.5	1375.5	1648.5	1595.5	1485.5	1454.0	1674.0	219.991	22.554	0.103				0.239	1.0					
CHAMPION 1	53.0	88_BASE C. STRIATOCONUM	1648.5	1595.5	1670.49	1617.49	1606.495	1674.0	1696.0	21.998	0.0	0.0										
CHAMPION 1	53.0	Below 88_Top Porosity to Eumeralla Fm	1648.5	1595.5	1670.49	1617.49	1606.495	1674.0	1696.0	21.998	0.0	0.0										
CONAN 1	69.7	68_PAARATTE	1106.17	1036.47	1366.75	1297.05	1166.76	1131.5	1392.1	260.582									No NET log	1700.1744	1941.2712	IFC(PHIT>=.08&VSH_GR<=.5 1 0)
CONAN 1	69.7	81_BELFAST	1366.75	1297.05	1679.25	1609.55	1453.3	1392.1	1704.6	312.494									No NET log			
CONAN 1	69.7	88_BASE C. STRIATOCONUM	1679.25	1609.55	1692.25	1622.55	1616.05	1704.6	1717.6	13.0	0.128	0.01				0.129	1.0	0.927				
CONAN 1	69.7	WAARRE FM	1692.25	1622.55	1843.54	1773.84	1698.195	1717.6	1868.9	151.298	50.925	0.337				0.211	0.991	1031.144				
CONAN 1	69.7	90.8_UPPER WAARRE	1692.25	1622.55	1736.25	1666.55	1644.55	1717.6	1761.6	43.999	40.341	0.917				0.221	0.996	1269.788				
